,Date,Confirmed,Deaths,Mortality Rate
Philippines,01-30-2020,1.0,0.0,0.0
Sri Lanka,01-30-2020,1.0,0.0,0.0
Finland,01-30-2020,1.0,0.0,0.0
South Korea,01-30-2020,4.0,0.0,0.0
Cambodia,01-30-2020,1.0,0.0,0.0
India,01-30-2020,1.0,0.0,0.0
China,01-30-2020,8124.0,171.0,2.104874446085672
Thailand,01-30-2020,14.0,0.0,0.0
Japan,01-30-2020,11.0,0.0,0.0
India,01-31-2020,1.0,0.0,0.0
Finland,01-31-2020,1.0,0.0,0.0
Macau,01-31-2020,7.0,0.0,0.0
Nepal,01-31-2020,1.0,0.0,0.0
Malaysia,01-31-2020,8.0,0.0,0.0
Australia,01-31-2020,9.0,0.0,0.0
Taiwan,01-31-2020,10.0,0.0,0.0
South Korea,01-31-2020,11.0,0.0,0.0
Hong Kong,01-31-2020,12.0,0.0,0.0
Singapore,01-31-2020,13.0,0.0,0.0
Japan,01-31-2020,15.0,0.0,0.0
US,01-31-2020,6.0,0.0,0.0
France,01-31-2020,5.0,0.0,0.0
Thailand,01-31-2020,19.0,0.0,0.0
United Arab Emirates,01-31-2020,4.0,0.0,0.0
Cambodia,01-31-2020,1.0,0.0,0.0
Philippines,01-31-2020,1.0,0.0,0.0
Sweden,01-31-2020,1.0,0.0,0.0
Germany,01-31-2020,5.0,0.0,0.0
Italy,01-31-2020,2.0,0.0,0.0
Sri Lanka,01-31-2020,1.0,0.0,0.0
Vietnam,01-31-2020,2.0,0.0,0.0
UK,01-31-2020,2.0,0.0,0.0
China,01-31-2020,9783.0,213.0,2.177246243483594
Canada,01-31-2020,3.0,0.0,0.0
Russia,01-31-2020,2.0,0.0,0.0
Hong Kong,02-01-2020,13.0,0.0,0.0
China,02-01-2020,11871.0,259.0,2.1817875494903545
Japan,02-01-2020,20.0,0.0,0.0
Thailand,02-01-2020,19.0,0.0,0.0
Singapore,02-01-2020,16.0,0.0,0.0
Australia,02-01-2020,12.0,0.0,0.0
Nepal,02-01-2020,1.0,0.0,0.0
Taiwan,02-01-2020,10.0,0.0,0.0
United Arab Emirates,02-01-2020,4.0,0.0,0.0
Russia,02-01-2020,2.0,0.0,0.0
Italy,02-01-2020,2.0,0.0,0.0
UK,02-01-2020,2.0,0.0,0.0
Cambodia,02-01-2020,1.0,0.0,0.0
Philippines,02-01-2020,1.0,0.0,0.0
India,02-01-2020,1.0,0.0,0.0
Spain,02-01-2020,1.0,0.0,0.0
Sri Lanka,02-01-2020,1.0,0.0,0.0
Finland,02-01-2020,1.0,0.0,0.0
Vietnam,02-01-2020,6.0,0.0,0.0
Macau,02-01-2020,7.0,0.0,0.0
Germany,02-01-2020,8.0,0.0,0.0
US,02-01-2020,8.0,0.0,0.0
Malaysia,02-01-2020,8.0,0.0,0.0
South Korea,02-01-2020,12.0,0.0,0.0
Sweden,02-01-2020,1.0,0.0,0.0
France,02-01-2020,6.0,0.0,0.0
Canada,02-01-2020,4.0,0.0,0.0
Japan,02-02-2020,20.0,0.0,0.0
Finland,02-02-2020,1.0,0.0,0.0
Sweden,02-02-2020,1.0,0.0,0.0
Sri Lanka,02-02-2020,1.0,0.0,0.0
Spain,02-02-2020,1.0,0.0,0.0
Cambodia,02-02-2020,1.0,0.0,0.0
UK,02-02-2020,2.0,0.0,0.0
India,02-02-2020,2.0,0.0,0.0
Italy,02-02-2020,2.0,0.0,0.0
Russia,02-02-2020,2.0,0.0,0.0
Philippines,02-02-2020,2.0,1.0,50.0
Canada,02-02-2020,4.0,0.0,0.0
United Arab Emirates,02-02-2020,5.0,0.0,0.0
France,02-02-2020,6.0,0.0,0.0
Vietnam,02-02-2020,6.0,0.0,0.0
Macau,02-02-2020,8.0,0.0,0.0
US,02-02-2020,8.0,0.0,0.0
Malaysia,02-02-2020,8.0,0.0,0.0
Germany,02-02-2020,10.0,0.0,0.0
Taiwan,02-02-2020,10.0,0.0,0.0
Australia,02-02-2020,12.0,0.0,0.0
South Korea,02-02-2020,15.0,0.0,0.0
Hong Kong,02-02-2020,15.0,0.0,0.0
Singapore,02-02-2020,18.0,0.0,0.0
Thailand,02-02-2020,19.0,0.0,0.0
China,02-02-2020,16607.0,361.0,2.17378214006142
Nepal,02-02-2020,1.0,0.0,0.0
China,02-03-2020,19693.0,425.0,2.15812725333875
Canada,02-03-2020,4.0,0.0,0.0
Singapore,02-03-2020,18.0,0.0,0.0
Hong Kong,02-03-2020,15.0,0.0,0.0
South Korea,02-03-2020,15.0,0.0,0.0
Australia,02-03-2020,12.0,0.0,0.0
Germany,02-03-2020,12.0,0.0,0.0
US,02-03-2020,11.0,0.0,0.0
Taiwan,02-03-2020,10.0,0.0,0.0
Malaysia,02-03-2020,8.0,0.0,0.0
Vietnam,02-03-2020,8.0,0.0,0.0
Macau,02-03-2020,8.0,0.0,0.0
France,02-03-2020,6.0,0.0,0.0
United Arab Emirates,02-03-2020,5.0,0.0,0.0
India,02-03-2020,3.0,0.0,0.0
Philippines,02-03-2020,2.0,1.0,50.0
Russia,02-03-2020,2.0,0.0,0.0
Italy,02-03-2020,2.0,0.0,0.0
UK,02-03-2020,2.0,0.0,0.0
Cambodia,02-03-2020,1.0,0.0,0.0
Spain,02-03-2020,1.0,0.0,0.0
Sri Lanka,02-03-2020,1.0,0.0,0.0
Sweden,02-03-2020,1.0,0.0,0.0
Thailand,02-03-2020,19.0,0.0,0.0
Finland,02-03-2020,1.0,0.0,0.0
Japan,02-03-2020,20.0,0.0,0.0
Nepal,02-03-2020,1.0,0.0,0.0
Sri Lanka,02-04-2020,1.0,0.0,0.0
Sweden,02-04-2020,1.0,0.0,0.0
Finland,02-04-2020,1.0,0.0,0.0
China,02-04-2020,23680.0,490.0,2.0692567567567566
Thailand,02-04-2020,25.0,0.0,0.0
Singapore,02-04-2020,24.0,0.0,0.0
Cambodia,02-04-2020,1.0,0.0,0.0
Hong Kong,02-04-2020,17.0,1.0,5.88235294117647
South Korea,02-04-2020,16.0,0.0,0.0
UK,02-04-2020,2.0,0.0,0.0
Russia,02-04-2020,2.0,0.0,0.0
Philippines,02-04-2020,2.0,1.0,50.0
US,02-04-2020,11.0,0.0,0.0
Taiwan,02-04-2020,11.0,0.0,0.0
Malaysia,02-04-2020,10.0,0.0,0.0
Macau,02-04-2020,10.0,0.0,0.0
Vietnam,02-04-2020,8.0,0.0,0.0
France,02-04-2020,6.0,0.0,0.0
United Arab Emirates,02-04-2020,5.0,0.0,0.0
Canada,02-04-2020,4.0,0.0,0.0
India,02-04-2020,3.0,0.0,0.0
Italy,02-04-2020,2.0,0.0,0.0
Germany,02-04-2020,12.0,0.0,0.0
Australia,02-04-2020,13.0,0.0,0.0
Japan,02-04-2020,22.0,0.0,0.0
Spain,02-04-2020,1.0,0.0,0.0
Nepal,02-04-2020,1.0,0.0,0.0
Belgium,02-04-2020,1.0,0.0,0.0
Spain,02-05-2020,1.0,0.0,0.0
Thailand,02-05-2020,25.0,0.0,0.0
Japan,02-05-2020,22.0,0.0,0.0
Hong Kong,02-05-2020,21.0,1.0,4.761904761904762
South Korea,02-05-2020,19.0,0.0,0.0
Australia,02-05-2020,13.0,0.0,0.0
US,02-05-2020,12.0,0.0,0.0
Germany,02-05-2020,12.0,0.0,0.0
Malaysia,02-05-2020,12.0,0.0,0.0
Taiwan,02-05-2020,11.0,0.0,0.0
Sri Lanka,02-05-2020,1.0,0.0,0.0
Macau,02-05-2020,10.0,0.0,0.0
Sweden,02-05-2020,1.0,0.0,0.0
Canada,02-05-2020,5.0,0.0,0.0
United Arab Emirates,02-05-2020,5.0,0.0,0.0
India,02-05-2020,3.0,0.0,0.0
Italy,02-05-2020,2.0,0.0,0.0
Philippines,02-05-2020,2.0,1.0,50.0
Russia,02-05-2020,2.0,0.0,0.0
UK,02-05-2020,2.0,0.0,0.0
Belgium,02-05-2020,1.0,0.0,0.0
Vietnam,02-05-2020,8.0,0.0,0.0
France,02-05-2020,6.0,0.0,0.0
China,02-05-2020,27409.0,562.0,2.050421394432486
Finland,02-05-2020,1.0,0.0,0.0
Cambodia,02-05-2020,1.0,0.0,0.0
Nepal,02-05-2020,1.0,0.0,0.0
Singapore,02-05-2020,28.0,0.0,0.0
Japan,02-06-2020,45.0,0.0,0.0
Cambodia,02-06-2020,1.0,0.0,0.0
Finland,02-06-2020,1.0,0.0,0.0
Sweden,02-06-2020,1.0,0.0,0.0
Sri Lanka,02-06-2020,1.0,0.0,0.0
Spain,02-06-2020,1.0,0.0,0.0
Belgium,02-06-2020,1.0,0.0,0.0
UK,02-06-2020,2.0,0.0,0.0
Russia,02-06-2020,2.0,0.0,0.0
Philippines,02-06-2020,2.0,1.0,50.0
South Korea,02-06-2020,23.0,0.0,0.0
Australia,02-06-2020,14.0,0.0,0.0
Nepal,02-06-2020,1.0,0.0,0.0
US,02-06-2020,12.0,0.0,0.0
Germany,02-06-2020,12.0,0.0,0.0
Malaysia,02-06-2020,12.0,0.0,0.0
Vietnam,02-06-2020,10.0,0.0,0.0
Macau,02-06-2020,10.0,0.0,0.0
France,02-06-2020,6.0,0.0,0.0
Canada,02-06-2020,5.0,0.0,0.0
United Arab Emirates,02-06-2020,5.0,0.0,0.0
Taiwan,02-06-2020,16.0,0.0,0.0
Singapore,02-06-2020,28.0,0.0,0.0
India,02-06-2020,3.0,0.0,0.0
China,02-06-2020,30553.0,632.0,2.0685366412463586
Thailand,02-06-2020,25.0,0.0,0.0
Hong Kong,02-06-2020,24.0,1.0,4.166666666666666
Italy,02-06-2020,2.0,0.0,0.0
Australia,02-07-2020,15.0,0.0,0.0
Nepal,02-07-2020,1.0,0.0,0.0
Cambodia,02-07-2020,1.0,0.0,0.0
Finland,02-07-2020,1.0,0.0,0.0
Sri Lanka,02-07-2020,1.0,0.0,0.0
Spain,02-07-2020,1.0,0.0,0.0
Belgium,02-07-2020,1.0,0.0,0.0
Russia,02-07-2020,2.0,0.0,0.0
UK,02-07-2020,3.0,0.0,0.0
India,02-07-2020,3.0,0.0,0.0
Philippines,02-07-2020,3.0,1.0,33.33333333333333
Italy,02-07-2020,3.0,0.0,0.0
United Arab Emirates,02-07-2020,5.0,0.0,0.0
France,02-07-2020,6.0,0.0,0.0
Canada,02-07-2020,7.0,0.0,0.0
Macau,02-07-2020,10.0,0.0,0.0
Vietnam,02-07-2020,10.0,0.0,0.0
Malaysia,02-07-2020,12.0,0.0,0.0
China,02-07-2020,34075.0,717.0,2.1041819515774027
Others,02-07-2020,61.0,0.0,0.0
Singapore,02-07-2020,30.0,0.0,0.0
Thailand,02-07-2020,25.0,0.0,0.0
Hong Kong,02-07-2020,25.0,1.0,4.0
Japan,02-07-2020,25.0,0.0,0.0
South Korea,02-07-2020,24.0,0.0,0.0
US,02-07-2020,12.0,0.0,0.0
Germany,02-07-2020,13.0,0.0,0.0
Taiwan,02-07-2020,16.0,0.0,0.0
Sweden,02-07-2020,1.0,0.0,0.0
Canada,02-08-2020,7.0,0.0,0.0
Macau,02-08-2020,10.0,0.0,0.0
United Arab Emirates,02-08-2020,7.0,0.0,0.0
India,02-08-2020,3.0,0.0,0.0
Philippines,02-08-2020,3.0,1.0,33.33333333333333
Italy,02-08-2020,3.0,0.0,0.0
UK,02-08-2020,3.0,0.0,0.0
US,02-08-2020,12.0,0.0,0.0
Russia,02-08-2020,2.0,0.0,0.0
Spain,02-08-2020,1.0,0.0,0.0
Sweden,02-08-2020,1.0,0.0,0.0
Sri Lanka,02-08-2020,1.0,0.0,0.0
Finland,02-08-2020,1.0,0.0,0.0
Belgium,02-08-2020,1.0,0.0,0.0
Nepal,02-08-2020,1.0,0.0,0.0
Cambodia,02-08-2020,1.0,0.0,0.0
Germany,02-08-2020,13.0,0.0,0.0
France,02-08-2020,11.0,0.0,0.0
Thailand,02-08-2020,32.0,0.0,0.0
South Korea,02-08-2020,24.0,0.0,0.0
Taiwan,02-08-2020,17.0,0.0,0.0
Malaysia,02-08-2020,16.0,0.0,0.0
Australia,02-08-2020,15.0,0.0,0.0
Vietnam,02-08-2020,13.0,0.0,0.0
Japan,02-08-2020,25.0,0.0,0.0
Hong Kong,02-08-2020,26.0,1.0,3.8461538461538463
Singapore,02-08-2020,33.0,0.0,0.0
Others,02-08-2020,61.0,0.0,0.0
China,02-08-2020,36778.0,804.0,2.186089510033172
Singapore,02-09-2020,40.0,0.0,0.0
Others,02-09-2020,64.0,0.0,0.0
Nepal,02-09-2020,1.0,0.0,0.0
Thailand,02-09-2020,32.0,0.0,0.0
China,02-09-2020,39790.0,904.0,2.2719276200050267
Hong Kong,02-09-2020,29.0,1.0,3.4482758620689653
Japan,02-09-2020,26.0,0.0,0.0
South Korea,02-09-2020,25.0,0.0,0.0
Spain,02-09-2020,2.0,0.0,0.0
Italy,02-09-2020,3.0,0.0,0.0
UK,02-09-2020,3.0,0.0,0.0
Philippines,02-09-2020,3.0,1.0,33.33333333333333
India,02-09-2020,3.0,0.0,0.0
United Arab Emirates,02-09-2020,7.0,0.0,0.0
Canada,02-09-2020,7.0,0.0,0.0
Macau,02-09-2020,10.0,0.0,0.0
France,02-09-2020,11.0,0.0,0.0
US,02-09-2020,12.0,0.0,0.0
Vietnam,02-09-2020,13.0,0.0,0.0
Germany,02-09-2020,14.0,0.0,0.0
Australia,02-09-2020,15.0,0.0,0.0
Malaysia,02-09-2020,16.0,0.0,0.0
Taiwan,02-09-2020,18.0,0.0,0.0
Sri Lanka,02-09-2020,1.0,0.0,0.0
Cambodia,02-09-2020,1.0,0.0,0.0
Sweden,02-09-2020,1.0,0.0,0.0
Belgium,02-09-2020,1.0,0.0,0.0
Russia,02-09-2020,2.0,0.0,0.0
Finland,02-09-2020,1.0,0.0,0.0
Taiwan,02-10-2020,18.0,0.0,0.0
Malaysia,02-10-2020,18.0,0.0,0.0
Australia,02-10-2020,15.0,0.0,0.0
Vietnam,02-10-2020,14.0,0.0,0.0
Germany,02-10-2020,14.0,0.0,0.0
US,02-10-2020,12.0,0.0,0.0
France,02-10-2020,11.0,0.0,0.0
Macau,02-10-2020,10.0,0.0,0.0
United Arab Emirates,02-10-2020,8.0,0.0,0.0
UK,02-10-2020,8.0,0.0,0.0
Canada,02-10-2020,7.0,0.0,0.0
India,02-10-2020,3.0,0.0,0.0
Philippines,02-10-2020,3.0,1.0,33.33333333333333
Spain,02-10-2020,2.0,0.0,0.0
Russia,02-10-2020,2.0,0.0,0.0
Sweden,02-10-2020,1.0,0.0,0.0
Sri Lanka,02-10-2020,1.0,0.0,0.0
Cambodia,02-10-2020,1.0,0.0,0.0
Finland,02-10-2020,1.0,0.0,0.0
Belgium,02-10-2020,1.0,0.0,0.0
Nepal,02-10-2020,1.0,0.0,0.0
Thailand,02-10-2020,32.0,0.0,0.0
Hong Kong,02-10-2020,38.0,1.0,2.631578947368421
Singapore,02-10-2020,45.0,0.0,0.0
Others,02-10-2020,135.0,0.0,0.0
China,02-10-2020,42306.0,1011.0,2.38973195291448
South Korea,02-10-2020,27.0,0.0,0.0
Italy,02-10-2020,3.0,0.0,0.0
Japan,02-10-2020,26.0,0.0,0.0
UK,02-11-2020,8.0,0.0,0.0
Others,02-11-2020,135.0,0.0,0.0
China,02-11-2020,44327.0,1111.0,2.506373090892684
India,02-11-2020,3.0,0.0,0.0
Philippines,02-11-2020,3.0,1.0,33.33333333333333
Italy,02-11-2020,3.0,0.0,0.0
Spain,02-11-2020,2.0,0.0,0.0
Russia,02-11-2020,2.0,0.0,0.0
Sweden,02-11-2020,1.0,0.0,0.0
Sri Lanka,02-11-2020,1.0,0.0,0.0
Cambodia,02-11-2020,1.0,0.0,0.0
Finland,02-11-2020,1.0,0.0,0.0
Belgium,02-11-2020,1.0,0.0,0.0
Nepal,02-11-2020,1.0,0.0,0.0
United Arab Emirates,02-11-2020,8.0,0.0,0.0
Macau,02-11-2020,10.0,0.0,0.0
Canada,02-11-2020,7.0,0.0,0.0
US,02-11-2020,13.0,0.0,0.0
Hong Kong,02-11-2020,49.0,1.0,2.0408163265306123
France,02-11-2020,11.0,0.0,0.0
Singapore,02-11-2020,47.0,0.0,0.0
South Korea,02-11-2020,28.0,0.0,0.0
Japan,02-11-2020,26.0,0.0,0.0
Thailand,02-11-2020,33.0,0.0,0.0
Malaysia,02-11-2020,18.0,0.0,0.0
Germany,02-11-2020,16.0,0.0,0.0
Australia,02-11-2020,15.0,0.0,0.0
Vietnam,02-11-2020,15.0,0.0,0.0
Taiwan,02-11-2020,18.0,0.0,0.0
United Arab Emirates,02-12-2020,8.0,0.0,0.0
Canada,02-12-2020,7.0,0.0,0.0
Finland,02-12-2020,1.0,0.0,0.0
India,02-12-2020,3.0,0.0,0.0
Spain,02-12-2020,2.0,0.0,0.0
Russia,02-12-2020,2.0,0.0,0.0
Sweden,02-12-2020,1.0,0.0,0.0
UK,02-12-2020,9.0,0.0,0.0
Sri Lanka,02-12-2020,1.0,0.0,0.0
Cambodia,02-12-2020,1.0,0.0,0.0
Italy,02-12-2020,3.0,0.0,0.0
Macau,02-12-2020,10.0,0.0,0.0
Germany,02-12-2020,16.0,0.0,0.0
US,02-12-2020,13.0,0.0,0.0
Vietnam,02-12-2020,15.0,0.0,0.0
Australia,02-12-2020,15.0,0.0,0.0
Malaysia,02-12-2020,18.0,0.0,0.0
Taiwan,02-12-2020,18.0,0.0,0.0
Japan,02-12-2020,28.0,0.0,0.0
South Korea,02-12-2020,28.0,0.0,0.0
Thailand,02-12-2020,33.0,0.0,0.0
Hong Kong,02-12-2020,50.0,1.0,2.0
Singapore,02-12-2020,50.0,0.0,0.0
Others,02-12-2020,175.0,0.0,0.0
China,02-12-2020,44699.0,1116.0,2.4967001498914962
France,02-12-2020,11.0,0.0,0.0
Nepal,02-12-2020,1.0,0.0,0.0
Philippines,02-12-2020,3.0,1.0,33.33333333333333
Belgium,02-12-2020,1.0,0.0,0.0
China,02-13-2020,59832.0,1368.0,2.286401925391095
Cambodia,02-13-2020,1.0,0.0,0.0
Nepal,02-13-2020,1.0,0.0,0.0
Finland,02-13-2020,1.0,0.0,0.0
Sweden,02-13-2020,1.0,0.0,0.0
Sri Lanka,02-13-2020,1.0,0.0,0.0
Belgium,02-13-2020,1.0,0.0,0.0
Spain,02-13-2020,2.0,0.0,0.0
Russia,02-13-2020,2.0,0.0,0.0
India,02-13-2020,3.0,0.0,0.0
Philippines,02-13-2020,3.0,1.0,33.33333333333333
Italy,02-13-2020,3.0,0.0,0.0
Canada,02-13-2020,7.0,0.0,0.0
United Arab Emirates,02-13-2020,8.0,0.0,0.0
Others,02-13-2020,175.0,0.0,0.0
Macau,02-13-2020,10.0,0.0,0.0
UK,02-13-2020,9.0,0.0,0.0
Hong Kong,02-13-2020,53.0,1.0,1.8867924528301887
Thailand,02-13-2020,33.0,0.0,0.0
South Korea,02-13-2020,28.0,0.0,0.0
Japan,02-13-2020,28.0,1.0,3.571428571428571
Malaysia,02-13-2020,19.0,0.0,0.0
Singapore,02-13-2020,58.0,0.0,0.0
Vietnam,02-13-2020,16.0,0.0,0.0
Germany,02-13-2020,16.0,0.0,0.0
US,02-13-2020,15.0,0.0,0.0
Australia,02-13-2020,15.0,0.0,0.0
France,02-13-2020,11.0,0.0,0.0
Taiwan,02-13-2020,18.0,0.0,0.0
Australia,02-14-2020,15.0,0.0,0.0
US,02-14-2020,15.0,0.0,0.0
Germany,02-14-2020,16.0,0.0,0.0
Vietnam,02-14-2020,16.0,0.0,0.0
Taiwan,02-14-2020,18.0,0.0,0.0
South Korea,02-14-2020,28.0,0.0,0.0
Japan,02-14-2020,29.0,1.0,3.4482758620689653
Thailand,02-14-2020,33.0,0.0,0.0
Hong Kong,02-14-2020,56.0,1.0,1.7857142857142856
France,02-14-2020,11.0,0.0,0.0
Singapore,02-14-2020,67.0,0.0,0.0
Malaysia,02-14-2020,19.0,0.0,0.0
Macau,02-14-2020,10.0,0.0,0.0
Spain,02-14-2020,2.0,0.0,0.0
United Arab Emirates,02-14-2020,8.0,0.0,0.0
Canada,02-14-2020,7.0,0.0,0.0
Italy,02-14-2020,3.0,0.0,0.0
India,02-14-2020,3.0,0.0,0.0
Philippines,02-14-2020,3.0,1.0,33.33333333333333
Russia,02-14-2020,2.0,0.0,0.0
Sri Lanka,02-14-2020,1.0,0.0,0.0
Sweden,02-14-2020,1.0,0.0,0.0
Egypt,02-14-2020,1.0,0.0,0.0
Finland,02-14-2020,1.0,0.0,0.0
Cambodia,02-14-2020,1.0,0.0,0.0
Belgium,02-14-2020,1.0,0.0,0.0
Others,02-14-2020,218.0,0.0,0.0
UK,02-14-2020,9.0,0.0,0.0
Nepal,02-14-2020,1.0,0.0,0.0
China,02-14-2020,66292.0,1520.0,2.2928860194291922
Sweden,02-15-2020,1.0,0.0,0.0
Russia,02-15-2020,2.0,0.0,0.0
China,02-15-2020,68347.0,1662.0,2.4317087801951804
Others,02-15-2020,285.0,0.0,0.0
Singapore,02-15-2020,72.0,0.0,0.0
Hong Kong,02-15-2020,56.0,1.0,1.7857142857142856
Japan,02-15-2020,43.0,1.0,2.3255813953488373
Thailand,02-15-2020,33.0,0.0,0.0
South Korea,02-15-2020,28.0,0.0,0.0
Malaysia,02-15-2020,22.0,0.0,0.0
Taiwan,02-15-2020,18.0,0.0,0.0
Vietnam,02-15-2020,16.0,0.0,0.0
Germany,02-15-2020,16.0,0.0,0.0
US,02-15-2020,15.0,0.0,0.0
Australia,02-15-2020,15.0,0.0,0.0
