Country/Region,Confirmed,Deaths,Mortality Rate
China,80977,3193,3.9430949528878574
Italy,21157,1441,6.810984544122513
Iran,12729,611,4.800062848613402
"Korea, South",8086,72,0.8904279000742024
Spain,6391,195,3.0511657017681113
Germany,4585,9,0.19629225736095968
France,4480,91,2.03125
US,2726,54,1.9809244314013204
Switzerland,1359,13,0.9565857247976454
United Kingdom,1143,21,1.837270341207349
Norway,1090,3,0.27522935779816515
Sweden,961,2,0.20811654526534862
Netherlands,959,12,1.251303441084463
Denmark,836,1,0.11961722488038277
Japan,773,22,2.846054333764554
Cruise Ship,696,7,1.0057471264367817
Belgium,689,4,0.5805515239477503
Austria,655,1,0.15267175572519084
Qatar,337,0,0.0
Australia,250,3,1.2
Malaysia,238,0,0.0
Greece,228,3,1.3157894736842104
Finland,225,0,0.0
Singapore,212,0,0.0
Bahrain,210,0,0.0
Canada,196,1,0.5102040816326531
Israel,193,0,0.0
Czechia,189,0,0.0
Slovenia,181,1,0.5524861878453038
Portugal,169,0,0.0
Iceland,156,0,0.0
Brazil,151,0,0.0
Ireland,129,2,1.550387596899225
Romania,123,0,0.0
Estonia,115,0,0.0
Philippines,111,8,7.207207207207207
Iraq,110,10,9.090909090909092
Egypt,109,2,1.834862385321101
Kuwait,104,0,0.0
Poland,103,3,2.912621359223301
Saudi Arabia,103,0,0.0
India,102,2,1.9607843137254901
Indonesia,96,5,5.208333333333334
Lebanon,93,3,3.225806451612903
United Arab Emirates,85,0,0.0
Thailand,82,1,1.2195121951219512
San Marino,80,5,6.25
Chile,61,0,0.0
Russia,59,0,0.0
Taiwan*,53,1,1.8867924528301887
Vietnam,53,0,0.0
Luxembourg,51,1,1.9607843137254901
Serbia,46,0,0.0
Slovakia,44,0,0.0
Bulgaria,41,2,4.878048780487805
Brunei,40,0,0.0
Albania,38,1,2.631578947368421
South Africa,38,0,0.0
Croatia,38,0,0.0
Peru,38,0,0.0
Algeria,37,3,8.108108108108109
Panama,36,1,2.7777777777777777
Argentina,34,2,5.88235294117647
Pakistan,31,0,0.0
Hungary,30,0,0.0
Georgia,30,0,0.0
Ecuador,28,2,7.142857142857142
Belarus,27,0,0.0
Costa Rica,26,0,0.0
Cyprus,26,0,0.0
Mexico,26,0,0.0
Latvia,26,0,0.0
Colombia,22,0,0.0
Oman,19,0,0.0
Malta,18,0,0.0
Tunisia,18,0,0.0
Bosnia and Herzegovina,18,0,0.0
Armenia,18,0,0.0
Morocco,17,1,5.88235294117647
Azerbaijan,15,1,6.666666666666667
North Macedonia,14,0,0.0
Moldova,12,0,0.0
Afghanistan,11,0,0.0
Dominican Republic,11,0,0.0
Maldives,10,0,0.0
Sri Lanka,10,0,0.0
Senegal,10,0,0.0
Bolivia,10,0,0.0
Martinique,9,0,0.0
Lithuania,8,0,0.0
Jamaica,8,0,0.0
Cambodia,7,0,0.0
Paraguay,6,0,0.0
Reunion,6,0,0.0
New Zealand,6,0,0.0
Kazakhstan,6,0,0.0
French Guiana,5,0,0.0
Turkey,5,0,0.0
Liechtenstein,4,0,0.0
Cuba,4,0,0.0
Uruguay,4,0,0.0
Bangladesh,3,0,0.0
Ghana,3,0,0.0
Ukraine,3,1,33.33333333333333
Venezuela,2,0,0.0
Seychelles,2,0,0.0
Trinidad and Tobago,2,0,0.0
Jersey,2,0,0.0
Nigeria,2,0,0.0
Monaco,2,0,0.0
Congo (Kinshasa),2,0,0.0
Honduras,2,0,0.0
Burkina Faso,2,0,0.0
Cameroon,2,0,0.0
Aruba,2,0,0.0
Namibia,2,0,0.0
Bhutan,1,0,0.0
Antigua and Barbuda,1,0,0.0
Guadeloupe,1,0,0.0
Cayman Islands,1,0,0.0
Andorra,1,0,0.0
Cote d'Ivoire,1,0,0.0
Curacao,1,0,0.0
Togo,1,0,0.0
Eswatini,1,0,0.0
Ethiopia,1,0,0.0
Gabon,1,0,0.0
Sudan,1,1,100.0
Suriname,1,0,0.0
Nepal,1,0,0.0
Guatemala,1,0,0.0
Guernsey,1,0,0.0
Guinea,1,0,0.0
Guyana,1,1,100.0
Holy See,1,0,0.0
Jordan,1,0,0.0
Kenya,1,0,0.0
Mauritania,1,0,0.0
Mongolia,1,0,0.0
Saint Vincent and the Grenadines,1,0,0.0
Saint Lucia,1,0,0.0
Rwanda,1,0,0.0
occupied Palestinian territory,0,0,
